Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
22,43,34,1,0,64.7,3,run out,1,ODI v South Africa,Johannesburg,15-Jan-11
28,51,41,5,0,68.29,3,caught,2,ODI v South Africa,Cape Town,18-Jan-11
87*,126,92,7,2,94.56,3,not out,2,ODI v South Africa,Gqeberha,21-Jan-11
2,11,6,0,0,33.33,3,caught,2,ODI v South Africa,Centurion,23-Jan-11
100*,113,83,8,2,120.48,4,not out,1,ODI v Bangladesh,Mirpur,19-Feb-11
8,12,5,1,0,160,7,bowled,1,ODI v England,Bengaluru,27-Feb-11
34,82,53,3,0,64.15,4,run out,2,ODI v Ireland,Bengaluru,06-Mar-11
12,16,20,2,0,60,5,bowled,2,ODI v Netherlands,Delhi,09-Mar-11
1,2,3,0,0,33.33,7,caught,1,ODI v South Africa,Nagpur,12-Mar-11
59,128,76,5,0,77.63,3,bowled,1,ODI v West Indies,Chennai,20-Mar-11
24,38,33,1,0,72.72,4,caught,2,ODI v Australia,Ahmedabad,24-Mar-11
9,20,21,0,0,42.85,4,caught,1,ODI v Pakistan,Mohali,30-Mar-11
35,69,49,4,0,71.42,4,caught,2,ODI v Sri Lanka,Wankhede,02-Apr-11
14,15,12,2,0,116.66,3,caught,1,T20I v West Indies,Port of Spain,04-Jun-11
2,5,8,0,0,25,3,caught,2,ODI v West Indies,Port of Spain,06-Jun-11
81,118,103,6,1,78.64,3,caught,2,ODI v West Indies,Port of Spain,08-Jun-11
0,1,1,0,0,0,3,lbw,2,ODI v West Indies,North Sound,11-Jun-11
22,68,33,1,0,66.66,3,stumped,2,ODI v West Indies,North Sound,13-Jun-11
94,135,104,10,0,90.38,3,run out,1,ODI v West Indies,Kingston,16-Jun-11
4,13,10,1,0,40,5,caught,1,Test v West Indies,Kingston,20-Jun-11
15,72,54,2,0,27.77,5,caught,3,Test v West Indies,Kingston,20-Jun-11
0,1,2,0,0,0,5,caught,1,Test v West Indies,Bridgetown,28-Jun-11
27,118,107,1,1,25.23,5,caught,3,Test v West Indies,Bridgetown,28-Jun-11
30,62,53,2,0,56.6,5,caught,2,Test v West Indies,Roseau,06-Jul-11
DNB,-,-,-,-,-,-,-,4,Test v West Indies,Roseau,06-Jul-11
4,5,5,0,0,80,4,caught,1,T20I v England,Manchester,31-Aug-11
55,92,73,4,0,75.34,4,bowled,1,ODI v England,Chester-le-Street,03-Sep-11
9,9,9,0,0,100,4,caught,1,ODI v England,Southampton,06-Sep-11
7,18,18,0,0,38.88,4,caught,1,ODI v England,The Oval,09-Sep-11
16,40,36,1,0,44.44,4,caught,1,ODI v England,Lord's,11-Sep-11
107,102,93,9,1,115.05,4,hit wicket,1,ODI v England,Cardiff,16-Sep-11
37,70,63,0,0,58.73,4,caught,1,ODI v England,Hyderabad,14-Oct-11
112*,134,98,16,0,114.28,4,not out,2,ODI v England,Delhi,17-Oct-11
35,42,30,5,0,116.66,4,lbw,2,ODI v England,Mohali,20-Oct-11
86*,-,99,11,0,86.86,4,not out,2,ODI v England,Wankhede,23-Oct-11
